item_id,score,skill_id,user_id
1,1,1,1
149,1,1,1
175,1,30,1
158,1,21,1
123,1,30,1
19,1,4,1
168,0,21,1
184,0,18,1
97,1,21,1
2,1,2,2
25,0,13,2
80,1,23,2
42,1,19,2
48,1,3,2
363,1,23,2
117,1,19,2
208,1,23,2
215,1,19,2
280,1,23,2
3,1,3,3
52,1,1,3
37,1,1,3
1,1,1,3
158,1,21,3
4,1,1,4
2,1,2,4
31,0,2,4
24,1,3,4
71,1,17,4
498,0,19,4
266,0,19,4
77,0,14,4
215,1,19,4
337,0,2,4
303,0,14,4
38,1,3,4
45,1,19,4
117,1,19,4
280,0,23,4
138,1,4,4
57,1,17,4
435,1,5,4
182,1,1,4
98,0,4,4
115,0,2,4
221,0,17,4
6,1,3,4
49,0,19,4
23,1,4,4
81,1,1,4
61,1,5,4
60,1,1,4
84,1,1,4
218,0,4,4
59,1,3,4
128,1,3,4
156,0,1,4
95,0,5,4
243,1,1,4
66,1,1,4
93,1,4,4
185,1,2,4
42,1,19,4
3,1,3,4
140,0,2,4
347,0,4,4
16,1,3,4
63,0,14,4
112,1,17,4
43,0,17,4
37,1,1,4
33,1,3,4
358,1,2,4
19,1,4,4
130,0,32,4
110,1,4,4
5,1,1,4
231,0,23,4
80,1,23,4
149,1,1,4
90,0,19,4
75,1,5,4
21,1,4,4
417,1,2,4
252,1,4,4
296,1,4,4
48,1,3,4
8,1,5,4
192,0,13,4
389,1,19,4
259,0,4,4
169,1,2,4
284,1,5,4
181,0,19,4
5,1,1,5
203,1,5,5
147,1,18,5
194,1,35,5
37,1,1,5
267,1,4,5
66,1,1,5
138,1,4,5
236,1,4,5
156,1,1,5
92,1,18,5
40,1,18,5
227,1,4,5
98,1,4,5
47,1,18,5
292,1,4,5
113,1,1,5
90,0,19,5
8,1,5,5
167,1,5,5
142,0,5,5
270,1,23,5
183,1,23,5
322,1,13,5
192,1,13,5
110,1,4,5
75,1,5,5
241,1,18,5
234,1,13,5
184,1,18,5
54,1,18,5
546,1,28,5
159,1,18,5
1,1,1,5
97,1,21,5
24,1,3,5
168,1,21,5
93,1,4,5
33,1,3,5
99,1,23,5
149,1,1,5
20,1,1,5
134,1,25,5
125,0,31,5
69,1,22,5
289,1,12,5
3,1,3,5
552,1,5,5
44,1,18,5
189,1,5,5
82,1,3,5
191,1,21,5
218,1,4,5
61,1,5,5
257,1,3,5
95,1,5,5
480,1,22,5
354,1,4,5
301,1,4,5
319,1,4,5
114,1,23,5
43,1,17,5
68,1,3,5
259,1,4,5
48,1,3,5
190,0,20,5
117,1,19,5
57,1,17,5
94,1,23,5
266,1,19,5
158,1,21,5
59,1,3,5
230,1,5,5
144,1,5,5
219,1,5,5
347,1,4,5
25,1,13,5
299,0,4,5
303,1,14,5
23,1,4,5
21,1,4,5
171,0,13,5
122,1,21,5
80,1,23,5
53,1,1,5
207,1,23,5
6,1,3,6
132,1,3,6
25,0,13,6
16,1,3,6
59,1,3,6
84,1,1,6
62,1,3,6
47,1,18,6
128,1,3,6
195,1,5,6
168,0,21,6
82,1,3,6
122,1,21,6
3,1,3,6
68,1,3,6
148,1,18,6
48,0,3,6
97,1,21,6
19,0,4,6
317,0,28,6
436,0,9,6
437,0,23,6
7,1,4,7
282,1,4,7
32,1,3,7
199,1,3,7
441,1,4,7
48,1,3,7
26,0,3,7
22,0,12,7
117,0,19,7
93,1,4,7
53,1,1,7
375,0,27,7
5,0,1,7
11,1,3,7
108,0,27,7
72,1,3,7
3,1,3,7
245,0,3,7
347,0,4,7
91,0,27,7
154,1,3,7
96,0,14,7
293,1,3,7
128,1,3,7
328,1,3,7
24,1,3,7
101,1,3,7
352,0,3,7
8,1,5,8
51,1,14,8
54,1,18,8
29,0,3,8
378,1,7,8
132,1,3,8
57,0,17,8
139,1,25,8
36,1,3,8
110,1,4,8
490,0,14,8
303,1,14,8
59,1,3,8
277,1,14,8
113,1,1,8
68,1,3,8
319,1,4,8
74,1,5,8
440,0,28,8
148,1,18,8
11,1,3,8
15,1,9,8
267,0,4,8
211,1,14,8
55,1,20,8
3,1,3,8
301,0,4,8
27,0,14,8
390,1,14,8
111,1,14,8
149,1,1,8
33,1,3,8
124,1,5,8
